rodada,query,tempo_execucao_sem_index,tempo_execucao_com_index
2,16,0.0,10.187.625.885.009.700
2,17,48.906.803.131.103.500,0.0
2,18,10.144.710.540.771.400,4.956.722.259.521.480
2,19,9.968.280.792.236.320,0.0
2,20,0.0,0.0
2,21,0.0,16.124.248.504.638.600
2,22,9.057.521.820.068.350,5.962.848.663.330.070
2,23,10.142.326.354.980.400,0.0
2,24,0.0,10.137.557.983.398.400
2,25,0.0,5.285.739.898.681.640
2,26,0.0,0.0
2,27,0.0,0.0
2,28,0.0,0.0
2,29,15.742.778.778.076.100,9.946.823.120.117.180
2,30,0.0,0.0
2,31,0.0,9.996.891.021.728.510
2,32,0.0,9.996.891.021.728.510
2,33,0.0,0.0
2,34,0.0,0.0
2,35,5.510.568.618.774.410,15.714.168.548.583.900
2,36,6.921.291.351.318.350,9.446.144.104.003.900
2,37,10.097.026.824.951.100,0.0
2,38,0.0,0.0
2,39,10.859.966.278.076.100,9.987.354.278.564.450
2,40,8.053.779.602.050.780,0.0
2,41,0.0,596.046.447.754
2,42,0.0,0.0
2,43,1.010.894.775.390.620,0.0
2,44,0.0,0.0
2,45,0.0,10.821.819.305.419.900
2,46,25.360.584.259.033.200,9.560.585.021.972.650
2,47,1.264.333.724.975.580,9.970.664.978.027.340
2,48,0.0,0.0
2,49,0.0,72.956.085.205
2,50,0.0,22.268.295.288.085.900
2,51,0.0,12.774.467.468.261.700
2,52,0.0,2.010.345.458.984.370
2,53,8.546.829.223.632.810,0.0
2,54,0.0,15.079.975.128.173.800
2,55,18.739.700.317.382.800,5.824.565.887.451.170
3,1,7.214.546.203.613.280,4.410.743.713.378.900
3,2,6.778.240.203.857.420,0.0
3,3,0.0,0.0
3,4,10.235.309.600.830.000,10.478.496.551.513.600
3,5,0.0,0.0
3,6,10.755.062.103.271.400,0.0
3,7,0.0,965.118.408.203.125
3,8,0.0,0.0
3,9,0.0,1.001.596.450.805.660
3,10,8.351.802.825.927.730,0.0
3,11,0.0,9.019.374.847.412.100
3,12,0.0,5.347.728.729.248.040
3,13,35.674.571.990.966.700,1.709.461.212.158.200
3,14,0.0,10.030.269.622.802.700
3,15,0.0,5.080.699.920.654.290
3,16,0.0,0.0
3,17,0.0,0.0
3,18,0.0,0.0
3,19,0.0,8.003.711.700.439.450
3,20,10.986.328.125,0.0
3,21,0.0,11.022.090.911.865.200
3,22,12.311.935.424.804.600,0.0
3,23,0.0,0.0
3,24,0.0,0.0
3,25,10.159.015.655.517.500,0.0
3,26,0.0,0.0
3,27,0.0,0.0
3,28,15.091.896.057.128.900,0.0
3,29,0.0,0.0
3,30,0.0,0.0
3,31,18.768.310.546.875,17.783.641.815.185.500
3,32,6.887.912.750.244.140,0.0
3,33,0.0,10.128.021.240.234.300
3,34,0.0,0.0
3,35,0.0,0.0
3,36,0.0,0.0
3,37,0.0,7.636.547.088.623.040
3,38,0.0,0.0
3,39,0.0,0.0
3,40,0.0,0.0
3,41,7.013.797.760.009.760,0.0
3,42,20.170.211.791.992.100,0.0
3,43,48.351.287.841.796.800,0.0
3,44,10.688.304.901.123.000,0.0
3,45,10.132.789.611.816.400,4.378.318.786.621.090
3,46,1.065.969.467.163.080,5.402.565.002.441.400
3,47,0.0,17.018.318.176.269.500
3,48,0.0,9.756.088.256.835.930
3,49,0.0,9.758.472.442.626.950
3,50,5.093.812.942.504.880,20.313.262.939.453.100
3,51,0.0,8.392.333.984.375
3,52,0.0,4.646.778.106.689.450
3,53,0.0,9.996.891.021.728.510
3,54,7.800.579.071.044.920,10.001.659.393.310.500
3,55,10.042.190.551.757.800,9.992.122.650.146.480
4,1,997.781.753.540.039,4.258.155.822.753.900
4,2,1.058.816.909.790.030,24.819.374.084.472.600
4,3,6.957.054.138.183.590,0.0
4,4,10.151.863.098.144.500,0.0
4,5,0.0,16.570.091.247.558.500
4,6,0.0,0.0
4,7,0.0,0.0
4,8,0.0,0.0
4,9,25.634.765.625,0.0
4,10,6.351.470.947.265.620,2.963.542.938.232.420
4,11,0.0,5.636.215.209.960.930
4,12,0.0,0.0
4,13,0.0,0.0
4,14,4.081.249.237.060.540,3.877.878.189.086.910
4,15,0.0,1.157.999.038.696.280
4,16,0.0,13.275.146.484.375
4,17,0.0,0.0
4,18,0.0,14.123.916.625.976.500
4,19,38.652.420.043.945.300,0.0
4,20,0.0,10.156.631.469.726.500
4,21,10.144.710.540.771.400,0.0
4,22,0.0,4.069.805.145.263.670
4,23,10.018.348.693.847.600,36.644.935.607.910.100
4,24,8.122.920.989.990.230,0.0
4,25,7.836.818.695.068.350,10.085.105.895.996.000
4,26,0.0,0.0
4,27,10.073.184.967.041.000,0.0
4,28,0.0,0.0
4,29,15.380.382.537.841.700,0.0
4,30,0.0,0.0
4,31,0.0,0.0
4,32,0.0,0.0
4,33,19.719.600.677.490.200,35.369.396.209.716.700
4,34,6.866.455.078.125,4.961.490.631.103.510
4,35,0.0,8.797.645.568.847.650
4,36,5.912.780.762,8.246.898.651.123.040
4,37,0.0,10.142.326.354.980.400
4,38,0.0,10.018.348.693.847.600
4,39,0.0,0.0
4,40,0.0,1.186.370.849.609.370
4,41,0.0,0.0
4,42,617.527.961.730.957,0.0
4,43,0.0,0.0
4,44,0.0,0.0
4,45,9.434.223.175.048.820,0.0
4,46,8.294.582.366.943.350,0.0
4,47,10.101.795.196.533.200,4.509.449.005.126.950
4,48,9.987.354.278.564.450,0.0
4,49,0.0,0.0
4,50,0.0,1.753.091.812.133.780
4,51,0.0,10.080.337.524.414.000
4,52,6.330.013.275.146.480,0.0
4,53,5.102.157.592.773.430,0.0
4,54,0.0,9.996.891.021.728.510
4,55,0.0,0.0
5,1,0.0,9.999.275.207.519.530
5,2,0.0,0.0
5,3,6.606.578.826.904.290,0.0
5,4,0.0,10.521.411.895.751.900
5,5,10.194.778.442.382.800,0.0
5,6,0.0,0.0
5,7,4.885.196.685.791.010,6.101.131.439.208.980
5,8,0.0,0.0
5,9,0.0,5.645.751.953.125
5,10,10.104.179.382.324.200,957.489.013.671.875
5,11,0.0,10.023.117.065.429.600
5,12,0.0,0.0
5,13,0.0,0.0
5,14,0.0,0.0
5,15,0.0,0.0
5,16,2.724.885.940.551.750,0.0
5,17,0.0,0.0
5,18,0.0,0.0
5,19,0.0,0.0
5,20,0.0,0.0
5,21,0.0,0.0
5,22,0.0,4.963.397.979.736.320
5,23,4.009.723.663.330.070,0.0
5,24,0.0,0.0
5,25,0.0,0.0
5,26,0.0,0.0
5,27,0.0,0.0
5,28,0.0,15.058.517.456.054.600
5,29,3.562.450.408.935.540,0.0
5,30,0.0,1.007.080.078.125
5,31,0.0,0.0
5,32,9.944.438.934.326.170,0.0
5,33,0.0,35.190.582.275.390.600
5,34,8.442.401.885.986.320,0.0
5,35,7.002.353.668.212.890,0.0
5,36,0.0,0.0
5,37,10.080.337.524.414.000,1.912.832.260.131.830
5,38,0.0,0.0
5,39,0.0,0.0
5,40,0.0,0.0
5,41,0.0,0.0
5,42,0.0,0.0
5,43,0.0,15.802.383.422.851.500
5,44,0.0,0.0
5,45,0.0,1.024.484.634.399.410
5,46,0.0,0.0
5,47,0.0,9.899.139.404.296.870
5,48,0.0,9.505.748.748.779.290
5,49,0.0,0.0
5,50,7.433.176.040.649.410,0.0
5,51,10.154.247.283.935.500,0.0
5,52,10.447.502.136.230.400,0.0
5,53,8.327.960.968.017.570,0.0
5,54,5.333.423.614.501.950,5.071.401.596.069.330
5,55,0.0,0.0
6,1,0.0,0.0
6,2,0.0,1.506.805.419.921.870
6,3,0.0,0.0
6,4,0.0,0.0
6,5,0.0,10.075.569.152.832.000
6,6,0.0,598.907.470.703.125
6,7,0.0,0.0
6,8,0.0,0.0
6,9,6.017.684.936.523.430,10.178.089.141.845.700
6,10,5.104.541.778.564.450,8.988.380.432.128.900
6,11,0.0,0.0
6,12,0.0,1.020.193.099.975.580
6,13,0.0,7.927.417.755.126.950
6,14,0.0,0.0
6,15,0.0,1.016.855.239.868.160
6,16,0.0,0.0
6,17,0.0,9.112.358.093.261.710
6,18,0.0,5.152.225.494.384.760
6,19,0.0,0.0
6,20,0.0,0.0
6,21,1.007.080.078.125,0.0
6,22,0.0,0.0
6,23,10.042.190.551.757.800,0.0
6,24,0.0,0.0
6,25,7.750.988.006.591.790,0.0
6,26,0.0,0.0
6,27,10.075.569.152.832.000,0.0
6,28,0.0,4.591.941.833.496.090
6,29,99.945.068.359.375,0.0
6,30,0.0,10.111.331.939.697.200
6,31,0.0,0.0
6,32,0.0,9.975.433.349.609.370
6,33,26.111.602.783.203.100,0.0
6,34,0.0,0.0
6,35,9.212.493.896.484.370,1.001.596.450.805.660
6,36,0.0,6.349.086.761.474.600
6,37,0.0,8.370.876.312.255.850
6,38,0.0,9.527.206.420.898.430
6,39,4.010.200.500.488.280,5.195.140.838.623.040
6,40,0.0,10.116.100.311.279.200
6,41,0.0,9.987.354.278.564.450
6,42,28.035.640.716.552.700,0.0
6,43,7.274.150.848.388.670,10.204.315.185.546.800
6,44,0.0,9.958.744.049.072.260
6,45,10.190.010.070.800.700,5.533.695.220.947.260
6,46,8.509.159.088.134.760,7.529.258.728.027.340
6,47,7.429.122.924.804.680,0.0
6,48,10.082.721.710.205.000,10.058.879.852.294.900
6,49,0.0,0.0
6,50,10.592.937.469.482.400,15.060.901.641.845.700
6,51,15.082.359.313.964.800,10.080.337.524.414.000
6,52,0.0,0.0
6,53,1.298.666.000.366.210,34.689.903.259.277.300
6,54,16.045.570.373.535.100,8.831.024.169.921.870
6,55,0.0,10.063.648.223.876.900
7,1,1.516.580.581.665.030,4.911.422.729.492.180
7,2,0.0,9.126.663.208.007.810
7,3,0.0,10.364.055.633.544.900
7,4,0.0,0.0
7,5,0.0,5.176.067.352.294.920
7,6,0.0,6.930.828.094.482.420
7,7,0.0,6.647.109.985.351.560
7,8,0.0,0.0
7,9,0.0,0.0
7,10,8.473.396.301.269.530,1.008.749.008.178.710
7,11,10.166.168.212.890.600,0.0
7,12,0.0,10.001.659.393.310.500
7,13,0.0,0.0
7,14,10.089.874.267.578.100,9.980.201.721.191.400
7,15,10.902.881.622.314.400,5.087.852.478.027.340
7,16,0.0,38.743.019.104.003.900
7,17,0.0,0.0
7,18,0.0,10.144.710.540.771.400
7,19,0.0,0.0
7,20,0.0,0.0
7,21,0.0,0.0
7,22,10.182.857.513.427.700,0.0
7,23,5.152.225.494.384.760,0.0
7,24,0.0,0.0
7,25,0.0,0.0
7,26,0.0,0.0
7,27,0.0,0.0
7,28,0.0,39.484.500.885.009.700
7,29,65.686.702.728.271.400,0.0
7,30,0.0,0.0
7,31,10.175.704.956.054.600,15.099.048.614.501.900
7,32,9.968.280.792.236.320,0.0
7,33,5.025.863.647.460.930,10.106.563.568.115.200
7,34,5.145.072.937.011.710,0.0
7,35,0.0,0.0
7,36,0.0,0.0
7,37,10.809.898.376.464.800,0.0
7,38,0.0,6.611.347.198.486.320
7,39,0.0,4.420.280.456.542.960
7,40,19.931.793.212.890.600,0.0
7,41,0.0,0.0
7,42,10.077.953.338.623.000,9.980.201.721.191.400
7,43,9.562.969.207.763.670,0.0
7,44,0.0,0.0
7,45,0.0,0.0
7,46,0.0,6.155.967.712.402.340
7,47,40.166.378.021.240.200,10.159.015.655.517.500
7,48,0.0,9.462.833.404.541.010
7,49,0.0,10.597.705.841.064.400
7,50,3.591.299.057.006.830,325.775.146.484.375
7,51,9.725.093.841.552.730,9.377.002.716.064.450
7,52,4.513.263.702.392.570,0.0
7,53,10.232.925.415.039.000,5.617.141.723.632.810
7,54,10.821.819.305.419.900,1.031.637.191.772.460
7,55,0.0,0.0
8,1,0.0,1.527.547.836.303.710
8,2,0.0,4.801.750.183.105.460
8,3,461.578.369.140.625,0.0
8,4,0.0,0.0
8,5,1.010.894.775.390.620,10.151.863.098.144.500
8,6,0.0,0.0
8,7,0.0,0.0
8,8,10.144.710.540.771.400,0.0
8,9,0.0,0.0
8,10,0.0,10.023.117.065.429.600
8,11,0.0,0.0
8,12,0.0,0.0
8,13,0.0,0.0
8,14,0.0,20.751.953.125
8,15,0.0,10.166.168.212.890.600
8,16,0.0,9.849.071.502.685.540
8,17,0.0,0.0
8,18,0.0,14.612.674.713.134.700
8,19,10.895.729.064.941.400,42.939.186.096.191.400
8,20,0.0,0.0
8,21,0.0,0.0
8,22,10.404.586.791.992.100,0.0
8,23,0.0,0.0
8,24,0.0,0.0
8,25,0.0,0.0
8,26,10.607.242.584.228.500,0.0
8,27,0.0,0.0
8,28,0.0,38.437.843.322.753.900
8,29,17.559.528.350.830.000,0.0
8,30,0.0,0.0
8,31,10.075.569.152.832.000,0.0
8,32,0.0,0.0
8,33,9.999.275.207.519.530,0.0
8,34,0.0,1.001.596.450.805.660
8,35,5.137.920.379.638.670,0.0
8,36,0.0,0.0
8,37,0.0,0.0
8,38,0.0,16.393.661.499.023.400
8,39,0.0,6.353.855.133.056.640
8,40,0.0,6.139.278.411.865.230
8,41,0.0,0.0
8,42,0.0,2.012.968.063.354.490
8,43,0.0,0.0
8,44,13.082.027.435.302.700,0.0
8,45,0.0,0.0
8,46,11.811.256.408.691.400,1.008.749.008.178.710
8,47,7.741.451.263.427.730,0.0
8,48,5.140.304.565.429.680,0.0
8,49,0.0,0.0
8,50,1.092.672.348.022.460,15.060.901.641.845.700
8,51,0.0,1.008.749.008.178.710
8,52,0.0,8.089.542.388.916.010
8,53,20.914.077.758.789.000,2.956.390.380.859.370
8,54,10.159.015.655.517.500,10.008.811.950.683.500
8,55,6.494.522.094.726.560,0.0
9,1,0.0,3.123.283.386.230.460
9,2,0.0,0.0
9,3,0.0,0.0
9,4,0.0,10.128.021.240.234.300
9,5,0.0,5.445.480.346.679.680
9,6,0.0,2.944.469.451.904.290
9,7,0.0,0.0
9,8,0.0,10.068.416.595.458.900
9,9,3.306.150.436.401.360,45.371.055.603.027.300
9,10,0.0,0.0
9,11,12.543.201.446.533.200,0.0
9,12,7.276.535.034.179.680,0.0
9,13,5.881.786.346.435.540,0.0
9,14,7.562.637.329.101.560,16.393.661.499.023.400
9,15,0.0,1.016.855.239.868.160
9,16,10.144.710.540.771.400,0.0
9,17,0.0,9.903.907.775.878.900
9,18,10.554.790.496.826.100,0.0
9,19,0.0,10.023.117.065.429.600
9,20,9.448.528.289.794.920,0.0
9,21,0.0,0.0
9,22,0.0,9.996.891.021.728.510
9,23,0.0,5.099.773.406.982.420
9,24,9.999.275.207.519.530,0.0
9,25,5.059.242.248.535.150,0.0
9,26,0.0,0.0
9,27,1.590.728.759.765.620,0.0
9,28,0.0,0.0
9,29,0.0,0.0
9,30,0.0,3.511.667.251.586.910
9,31,0.0,0.0
9,32,0.0,0.0
9,33,0.0,0.0
9,34,5.510.091.781.616.210,17.688.274.383.544.900
9,35,6.918.907.165.527.340,0.0
9,36,9.708.404.541.015.620,1.008.749.008.178.710
9,37,8.795.261.383.056.640,0.0
9,38,0.0,9.999.275.207.519.530
9,39,10.085.105.895.996.000,0.0
9,40,0.0,10.776.519.775.390.600
9,41,10.166.168.212.890.600,0.0
9,42,0.0,6.885.528.564.453.120
9,43,9.965.896.606.445.310,2.307.891.845.703.120
9,44,0.0,1.003.265.380.859.370
9,45,13.966.560.363.769.500,0.0
9,46,0.0,0.0
9,47,0.0,0.0
9,48,11.510.848.999.023.400,1.013.040.542.602.530
9,49,0.0,9.567.737.579.345.700
9,50,0.0,9.272.098.541.259.760
9,51,5.041.360.855.102.530,0.0
9,52,0.0,1.001.596.450.805.660
9,53,20.246.505.737.304.600,10.254.383.087.158.200
9,54,0.0,9.369.850.158.691.400
9,55,0.0,84.877.014.160
10,1,11.103.153.228.759.700,1.005.411.148.071.280
10,2,6.649.494.171.142.570,0.0
10,3,0.0,0.0
10,4,1.013.040.542.602.530,6.365.776.062.011.710
10,5,0.0,0.0
10,6,9.958.744.049.072.260,0.0
10,7,0.0,0.0
10,8,0.0,0.0
10,9,0.0,3.722.667.694.091.790
10,10,0.0,10.077.953.338.623.000
10,11,0.0,0.0
10,12,0.0,10.039.806.365.966.700
10,13,29.523.372.650.146.400,0.0
10,14,7.624.626.159.667.960,997.304.916.381.836
10,15,0.0,0.0
10,16,0.0,0.0
10,17,0.0,0.0
10,18,4.027.366.638.183.590,0.0
10,19,0.0,7.917.881.011.962.890
10,20,0.0,0.0
10,21,0.0,39.768.218.994.140.600
10,22,0.0,0.0
10,23,0.0,1.001.596.450.805.660
10,24,3.421.306.610.107.420,0.0
10,25,0.0,9.992.122.650.146.480
10,26,10.106.563.568.115.200,0.0
10,27,0.0,9.992.122.650.146.480
10,28,11.010.169.982.910.100,6.239.414.215.087.890
10,29,7.238.388.061.523.430,28.705.596.923.828.100
10,30,0.0,0.0
10,31,10.085.105.895.996.000,10.056.495.666.503.900
10,32,0.0,0.0
10,33,9.989.738.464.355.460,0.0
10,34,0.0,0.0
10,35,0.0,0.0
10,36,1.554.250.717.163.080,0.0
10,37,0.0,2.091.646.194.458.000
10,38,11.701.583.862.304.600,0.0
10,39,0.0,0.0
10,40,1.012.563.705.444.330,9.636.878.967.285.150
10,41,5.357.265.472.412.100,0.0
10,42,0.0,0.0
10,43,0.0,9.989.738.464.355.460
10,44,0.0,0.0
10,45,0.0,9.999.275.207.519.530
10,46,0.0,5.285.739.898.681.640
10,47,0.0,8.280.277.252.197.260
10,48,6.806.850.433.349.600,0.0
10,49,5.109.310.150.146.480,10.035.037.994.384.700
10,50,10.085.105.895.996.000,15.099.048.614.501.900
10,51,3.094.673.156.738.280,0.0
10,52,7.491.111.755.371.090,10.075.569.152.832.000
10,53,1.009.225.845.336.910,6.439.685.821.533.200
10,54,0.0,0.0
10,55,0.0,10.056.495.666.503.900
11,1,0.0,0.0
11,2,0.0,0.0
11,3,0.0,0.0
11,4,0.0,6.005.764.007.568.350
11,5,0.0,0.0
11,6,0.0,0.0
11,7,31.108.856.201.171.800,0.0
11,8,0.0,0.0
11,9,1.154.184.341.430.660,3.552.675.247.192.380
11,10,5.133.152.008.056.640,0.0
11,11,0.0,0.0
11,12,0.0,0.0
11,13,0.0,0.0
11,14,0.0,10.099.411.010.742.100
11,15,0.0,0.0
11,16,0.0,9.968.280.792.236.320
11,17,0.0,0.0
11,18,0.0,10.004.043.579.101.500
11,19,0.0,3.921.985.626.220.700
11,20,7.266.521.453.857.420,0.0
11,21,9.579.658.508.300.780,36.597.251.892.089.800
11,22,0.0,0.0
11,23,11.248.588.562.011.700,10.008.811.950.683.500
11,24,10.094.642.639.160.100,0.0
11,25,10.302.066.802.978.500,10.135.173.797.607.400
11,26,0.0,0.0
11,27,10.411.739.349.365.200,9.849.071.502.685.540
11,28,0.0,0.0
11,29,0.0,12.066.364.288.330.000
11,30,2.932.310.104.370.110,0.0
11,31,1.154.184.341.430.660,1.514.434.814.453.120
11,32,0.0,0.0
11,33,0.0,0.0
11,34,0.0,7.798.671.722.412.100
11,35,0.0,0.0
11,36,0.0,20.110.607.147.216.700
11,37,0.0,0.0
11,38,0.0,0.0
11,39,0.0,10.082.721.710.205.000
11,40,0.0,1.001.119.613.647.460
11,41,7.409.095.764.160.150,0.0
11,42,0.0,99.945.068.359.375
11,43,0.0,0.0
11,44,0.0,0.0
11,45,15.065.670.013.427.700,28.252.601.623.535.100
11,46,0.0,6.124.973.297.119.140
11,47,0.0,0.0
11,48,10.023.117.065.429.600,10.008.811.950.683.500
11,49,10.716.915.130.615.200,0.0
11,50,15.134.811.401.367.100,997.304.916.381.836
11,51,0.0,8.130.073.547.363.280
11,52,0.0,3.314.018.249.511.710
11,53,0.0,10.280.609.130.859.300
11,54,5.561.113.357.543.940,0.0
11,55,0.0,7.469.654.083.251.950
12,1,1.007.080.078.125,0.0
12,2,0.0,15.184.879.302.978.500
12,3,1.178.741.455.078.120,0.0
12,4,0.0,0.0
12,5,0.0,0.0
12,6,0.0,0.0
12,7,1.010.894.775.390.620,0.0
12,8,0.0,9.953.975.677.490.230
12,9,0.0,0.0
12,10,0.0,10.001.659.393.310.500
12,11,0.0,0.0
12,12,0.0,0.0
12,13,0.0,99.945.068.359.375
12,14,0.0,5.412.101.745.605.460
12,15,0.0,0.0
12,16,32.732.486.724.853.500,0.0
12,17,9.353.160.858.154.290,0.0
12,18,5.133.152.008.056.640,0.0
12,19,0.0,0.0
12,20,0.0,0.0
12,21,0.0,35.071.372.985.839.800
12,22,0.0,0.0
12,23,0.0,0.0
12,24,0.0,0.0
12,25,0.0,0.0
12,26,0.0,18.582.344.055.175.700
12,27,7.104.158.401.489.250,0.0
12,28,3.349.781.036.376.950,10.106.563.568.115.200
12,29,0.0,0.0
12,30,0.0,997.304.916.381.836
12,31,10.159.015.655.517.500,0.0
12,32,0.0,1.194.000.244.140.620
12,33,0.0,0.0
12,34,1.058.816.909.790.030,568.389.892.578.125
12,35,0.0,0.0
12,36,0.0,0.0
12,37,1.010.894.775.390.620,0.0
12,38,0.0,3.512.859.344.482.420
12,39,11.115.074.157.714.800,0.0
12,40,0.0,0.0
12,41,29.802.322.387.695.300,0.0
12,42,9.162.425.994.873.040,10.409.355.163.574.200
12,43,8.573.532.104.492.180,0.0
12,44,10.111.331.939.697.200,9.665.489.196.777.340
12,45,0.0,0.0
12,46,0.0,10.027.885.437.011.700
12,47,10.242.462.158.203.100,0.0
12,48,0.0,0.0
12,49,980.377.197.265.625,8.678.436.279.296.870
12,50,7.483.959.197.998.040,9.214.878.082.275.390
12,51,0.0,0.0
12,52,0.0,0.0
12,53,0.0,0.0
12,54,0.0,10.077.953.338.623.000
12,55,4.508.495.330.810.540,8.144.378.662.109.370
13,1,0.0,23.889.541.625.976.500
13,2,0.0,10.440.349.578.857.400
13,3,0.0,0.0
13,4,0.0,0.0
13,5,1.016.378.402.709.960,9.958.744.049.072.260
13,6,5.335.807.800.292.960,7.534.027.099.609.370
13,7,0.0,0.0
13,8,0.0,15.239.715.576.171.800
13,9,0.0,0.0
13,10,0.0,0.0
13,11,0.0,0.0
13,12,0.0,0.0
13,13,0.0,0.0
13,14,0.0,0.0
13,15,0.0,0.0
13,16,68.111.419.677.734.300,0.0
13,17,5.104.541.778.564.450,0.0
13,18,0.0,0.0
13,19,10.089.874.267.578.100,0.0
13,20,0.0,0.0
13,21,0.0,0.0
13,22,7.655.620.574.951.170,1.013.040.542.602.530
13,23,0.0,0.0
13,24,1.008.749.008.178.710,0.0
13,25,0.0,13.501.644.134.521.400
13,26,9.984.970.092.773.430,0.0
13,27,0.0,0.0
13,28,0.0,9.992.122.650.146.480
13,29,0.0,9.975.433.349.609.370
13,30,0.0,6.203.651.428.222.650
13,31,0.0,9.374.618.530.273.430
13,32,0.0,0.0
13,33,0.0,10.008.811.950.683.500
13,34,0.0,0.0
13,35,8.134.841.918.945.310,99.945.068.359.375
13,36,0.0,0.0
13,37,0.0,99.945.068.359.375
13,38,0.0,0.0
13,39,0.0,28.514.862.060.546.800
13,40,0.0,0.0
13,41,0.0,0.0
13,42,0.0,0.0
13,43,6.577.730.178.833.000,0.0
13,44,0.0,0.0
13,45,10.139.942.169.189.400,3.866.910.934.448.240
13,46,0.0,6.041.526.794.433.590
13,47,3.516.674.041.748.040,0.0
13,48,7.886.886.596.679.680,33.469.200.134.277.300
13,49,5.121.231.079.101.560,1.012.563.705.444.330
13,50,10.080.337.524.414.000,1.512.765.884.399.410
13,51,99.945.068.359.375,12.121.200.561.523.400
13,52,0.0,0.0
13,53,0.0,10.066.032.409.667.900
13,54,2.082.347.869.873.040,10.001.659.393.310.500
13,55,10.094.642.639.160.100,0.0
14,1,0.0,0.0
14,2,8.549.690.246.582.030,0.0
14,3,0.0,0.0
14,4,0.0,0.0
14,5,0.0,0.0
14,6,0.0,36.323.070.526.123.000
14,7,0.0,0.0
14,8,0.0,1.008.749.008.178.710
14,9,0.0,0.0
14,10,0.0,0.0
14,11,0.0,0.0
14,12,0.0,15.072.822.570.800.700
14,13,0.0,0.0
14,14,3.930.568.695.068.350,10.094.642.639.160.100
14,15,7.975.101.470.947.260,0.0
14,16,0.0,0.0
14,17,0.0,35.881.996.154.785.100
14,18,0.0,0.0
14,19,0.0,4.820.823.669.433.590
14,20,0.0,0.0
14,21,10.144.710.540.771.400,9.913.444.519.042.960
14,22,0.0,4.904.270.172.119.140
14,23,0.0,0.0
14,24,9.846.687.316.894.530,0.0
14,25,0.0,997.781.753.540.039
14,26,0.0,0.0
14,27,1.539.468.765.258.780,0.0
14,28,6.051.063.537.597.650,0.0
14,29,0.0,0.0
14,30,10.044.574.737.548.800,0.0
14,31,0.0,0.0
14,32,0.0,3.857.135.772.705.070
14,33,0.0,0.0
14,34,21.119.117.736.816.400,10.085.105.895.996.000
14,35,0.0,0.0
14,36,0.0,0.0
14,37,0.0,0.0
14,38,0.0,99.945.068.359.375
14,39,0.0,0.0
14,40,0.0,10.771.751.403.808.500
14,41,4.759.311.676.025.390,0.0
14,42,5.075.931.549.072.260,3.038.167.953.491.210
14,43,11.162.757.873.535.100,10.156.631.469.726.500
14,44,9.093.284.606.933.590,9.987.354.278.564.450
